question,option0,option1,option2,correctIndex,difficulty,era,region
"In 'Aguirre, the Wrath of God', Werner Herzog allegedly threatened lead actor Klaus Kinski with what to keep him on set?","A rifle","A lawsuit","No pay",0,"Director Cut","New Hollywood","International"
"Which cinematographer developed a 'flashing' technique (pre-exposing film) to give 'Long Goodbye' its pastel look?","Vilmos Zsigmond","Gordon Willis","Vittorio Storaro",0,"Director Cut","New Hollywood","International"
"In 'Sátántangó', why are the shots notoriously long (averaging 10 minutes)?","To reflect the 'slow time' of rural life","Because the director lost his editor","To save on film stock",0,"Director Cut","New Hollywood","International"
"Which film movement's manifesto (DOGME 95) forbade the use of external lighting or props, though it started later, its roots are in New Hollywood realism?","Danish New Wave","French New Wave","Cinema Novo",0,"Director Cut","New Hollywood","International"
"The car in 'Run Lola Run' (1998) was actually what, paying homage to French cinema?","A Citroën","A Peugeot","A Renault",0,"Director Cut","New Hollywood","International"
"In 'Jeanne Dielman' (1975), the preparation of which food item takes up a significant portion of the three-hour runtime?","Potatoes","Meatloaf","Bread",0,"Director Cut","New Hollywood","International"
"On the disastrous set of 'The Island of Dr. Moreau' (1996), which actor famously refused to take off his 'pale face' makeup, even when not filming?","Marlon Brando","Val Kilmer","David Thewlis",0,"Medium","Modern","Domestic"
"Who was the original director of 'The Island of Dr. Moreau' before being fired and replaced by John Frankenheimer?","Richard Stanley","John McTiernan","Terry Gilliam",0,"Hard","Modern","Domestic"
"Which surrealist artist was famously hired by Alejandro Jodorowsky to design the sets for his unproduced 'Dune' adaptation?","Salvador Dalí","H.R. Giger","Moebius",0,"Medium","New Hollywood","International"
"In Jodorowsky's 'Dune', which rock band was slated to provide the soundtrack for the Harkonnen scenes?","Pink Floyd","Magma","Tangerine Dream",1,"Hard","New Hollywood","International"
"Terry Gilliam's 'Jabberwocky' (1977) was often marketed in the US as a sequel to which film to capitalize on its lead actor?","Monty Python and the Holy Grail","Life of Brian","Time Bandits",0,"Medium","New Hollywood","International"
"Harvey Keitel was famously fired from 'Apocalypse Now' after one week of shooting; who was his replacement for the role of Captain Willard?","Martin Sheen","Jack Nicholson","Robert De Niro",0,"Easy","New Hollywood","Domestic"
"Harvey Keitel was replaced by Sydney Pollack in which Stanley Kubrick film because Keitel felt the shoot was taking too long?","Eyes Wide Shut","The Shining","Full Metal Jacket",0,"Hard","Modern","Domestic"
"Dennis Hopper was notoriously difficult on the set of 'True Grit' (1969), leading which lead actor to allegedly chase him with a loaded gun?","John Wayne","Glen Campbell","Robert Duvall",0,"Hard","New Hollywood","Domestic"
"Which 1971 film, directed by and starring Dennis Hopper, was so chaotic during its Peru production that Universal Studios essentially buried it for years?","The Last Movie","Easy Rider","Out of the Blue",0,"Hard","New Hollywood","Domestic"
"In the documentary 'Lost in La Mancha', which actor’s health problems caused the first collapse of Terry Gilliam’s 'Don Quixote' project?","Jean Rochefort","Johnny Depp","John Hurt",0,"Medium","Modern","International"
"Harvey Keitel was originally cast as the lead in which 1999 film before being replaced by James Gandolfini after creative differences with the director?","8mm","The Sopranos","U-571",0,"Director Cut","Modern","Domestic"
"Dennis Hopper’s performance in 'Blue Velvet' (1986) revitalized his career, but which director had he famously insulted on the set of 'Mad Dog Morgan' (1976)?","Philippe Mora","Werner Herzog","Nicolas Roeg",0,"Director Cut","New Hollywood","International"
"During the filming of 'Jabberwocky', Terry Gilliam had to borrow costumes and props from the set of which other production to save money?","Monty Python and the Holy Grail","Star Wars","Barry Lyndon",0,"Director Cut","New Hollywood","International"
"In 'Eyes Wide Shut', Harvey Keitel was originally cast in which role before being replaced by Sydney Pollack?","Victor Ziegler","Nick Nightingale","Mr. Milich",0,"Medium","Modern","Domestic"
"What was the primary reason Harvey Keitel left the production of 'Eyes Wide Shut' after filming several scenes?","Scheduling conflicts due to the long shoot","An on-set physical altercation","A dispute over his salary",0,"Hard","Modern","Domestic"
"How much of Harvey Keitel's performance remains in the final cut of Stanley Kubrick's 'Eyes Wide Shut'?","None; his scenes were entirely reshot","Only his voice in one phone call","One wide shot during the party",0,"Director Cut","Modern","Domestic"
"Because Jennifer Jason Leigh left the production due to delays, Kubrick had to reshoot scenes featuring which major plot-driving character?","Marion Nathanson","The masked woman","Alice Harford",0,"Hard","Modern","Domestic"
"On the set of 'The Island of Dr. Moreau' (1996), Val Kilmer famously clashed with which veteran director, leading to the director's eventual firing?","Richard Stanley","John Frankenheimer","Michael Apted",0,"Medium","Modern","Domestic"
"During the filming of 'The Ghost and the Darkness' (1996), Val Kilmer's reputation for being 'difficult' led which co-star to reportedly refuse to speak to him off-camera?","Michael Douglas","John Kani","Bernard Hill",0,"Hard","Modern","Domestic"
"Which 1995 film's director, Joel Schumacher, famously described Val Kilmer as 'childish and impossible' after their collaboration?","Batman Forever","The Saint","Heat",0,"Easy","Modern","Domestic"
"In the 2021 documentary 'Val', Kilmer reveals that his 'troublesome' reputation often stemmed from his intense commitment to what acting style?","Method Acting","Meisner Technique","Classical Stage Acting",0,"Medium","Modern","Domestic"
"Which 1991 biopic saw Val Kilmer stay in character as Jim Morrison for nearly a year, reportedly causing significant friction with his cast and crew?","The Doors","Tombstone","True Romance",0,"Easy","Modern","Domestic"
"On the set of 'Red Planet' (2000), a physical altercation reportedly broke out between Val Kilmer and which of his co-stars over a dispute about a light fixture?","Tom Sizemore","Carrie-Anne Moss","Benjamin Bratt",0,"Hard","Modern","Domestic"
"Director Michael Mann reportedly had to mediate several tense stand-offs between Val Kilmer and the crew during the filming of which 1995 heist masterpiece?","Heat","The Insider","Collateral",0,"Director Cut","Modern","Domestic"
"In the 1987 film 'Wall Street', which real-life father of Charlie Sheen plays his on-screen father, Carl Fox?","Kirk Douglas","Henry Fonda","Martin Sheen",2,"Easy","80s","Domestic"
"Michael Douglas produced 'One Flew Over the Cuckoo's Nest' (1975) after his father, Kirk Douglas, gave him the rights; which actor did Michael cast in the lead role Kirk had originally played on Broadway?","Martin Sheen","Ryan O'Neal","Jack Nicholson",2,"Medium","New Hollywood","Domestic"
"Which 2010 film was directed by Emilio Estevez and stars his father, Martin Sheen, as a man walking the Camino de Santiago?","Bobby","Men at Work","The Way",2,"Medium","Modern","International"
"Henry Fonda and his daughter Jane Fonda appeared together in which 1981 film, which earned Henry his only competitive Academy Award?","12 Angry Men","The Grapes of Wrath","On Golden Pond",2,"Easy","80s","Domestic"
"Tatum O'Neal won an Oscar at age 10 for 'Paper Moon' (1973), starring alongside her real-life father; who is he?","Peter Fonda","Martin Sheen","Ryan O'Neal",2,"Easy","New Hollywood","Domestic"
"In the 2003 film 'It Runs in the Family', three generations of which acting dynasty appear together on screen?","The Sheens","The Fondas","The Douglases",2,"Medium","Modern","Domestic"
"Which 1969 counter-culture classic was produced by and starred Peter Fonda, the son of Hollywood legend Henry Fonda?","Five Easy Pieces","The Wild Bunch","Easy Rider",2,"Easy","New Hollywood","Domestic"
"Which son of Martin Sheen chose to keep his legal birth name, Estevez, for his acting career to avoid riding his father's coattails?","Charlie Sheen","Ramon Sheen","Emilio Estevez",2,"Medium","80s","Domestic"
"In the 1979 film 'Apocalypse Now', a young Emilio Estevez had a small role that was ultimately cut; who was the film's lead and Emilio's real-life father?","Marlon Brando","Robert Duvall","Martin Sheen",2,"Hard","New Hollywood","Domestic"
"Ryan O'Neal and daughter Tatum O'Neal reunited in 1976 for which Peter Bogdanovich film about early silent cinema?","What's Up, Doc?","The Last Picture Show","Nickelodeon",2,"Hard","New Hollywood","Domestic"
"Which 1983 Francis Ford Coppola film served as the first major gathering of 'Brat Pack' actors, including Rob Lowe, Emilio Estevez, and Tom Cruise?","The Breakfast Club","Taps","The Outsiders",2,"Easy","New Hollywood","Domestic"
"In 'The Outsiders', which actor played the role of Steve Randle, a grease monkey who was famously the best friend of Sodapop Curtis?","Matt Dillon","Emilio Estevez","Tom Cruise",2,"Medium","New Hollywood","Domestic"
"Emilio Estevez and Rob Lowe appeared together in 'The Outsiders' and then reunited two years later for which quintessential 1985 Brat Pack film?","About Last Night","The Breakfast Club","St. Elmo's Fire",2,"Easy","80s","Domestic"
"Which actor, often associated with the early 80s teen wave, played the rebellious 'Dally' Winston in both 'The Outsiders' and 'Tex'?","Patrick Swayze","C. Thomas Howell","Matt Dillon",2,"Medium","New Hollywood","Domestic"
"Before 'The Outsiders', Tom Cruise made one of his earliest film appearances alongside Sean Penn and Timothy Hutton in which 1981 military academy drama?","All the Right Moves","Risky Business","Taps",2,"Hard","80s","Domestic"
"During the filming of 'The Outsiders', which future superstar reportedly knocked out co-star Rob Lowe during an impromptu sparring match in a hotel hallway?","Emilio Estevez","Matt Dillon","Tom Cruise",2,"Hard","New Hollywood","Domestic"
"Which member of the Brat Pack wrote, directed, and starred in the 1986 film 'Wisdom', making him the youngest person to do so at the time?","Rob Lowe","Charlie Sheen","Emilio Estevez",2,"Hard","80s","Domestic"
"Matt Dillon starred in several adaptations of novels by S.E. Hinton; besides 'The Outsiders' and 'Tex', which 1983 film completed this trio?","Over the Edge","The Flamingo Kid","Rumble Fish",2,"Medium","New Hollywood","Domestic"
"Tom Cruise famously opted to have a painful dental cap removed to reveal a chipped tooth for his character in which early career film?","Legend","Top Gun","The Outsiders",2,"Medium","New Hollywood","Domestic"
"In the 1983 film 'Class', which Brat Pack member plays a prep school student who unknowingly has an affair with his roommate's mother?","Emilio Estevez","Andrew McCarthy","Rob Lowe",2,"Medium","80s","Domestic"
"Daniel Day-Lewis famously refused to leave his wheelchair and had crew members spoon-feed him during the production of which 1989 film?","There Will Be Blood","Lincoln","My Left Foot",2,"Easy","80s","International"
"Which Method actor reportedly lived in the woods, hunted his own food, and slept in a tent to prepare for his role in 'The Revenant'?","Christian Bale","Joaquin Phoenix","Leonardo DiCaprio",2,"Medium","Modern","Domestic"
"For her role in 'The Iron Lady', Meryl Streep reportedly stayed in character as Margaret Thatcher even when the cameras weren't rolling; who was her co-star that described the experience as 'intimidating'?","Olivia Colman","Richard E. Grant","Jim Broadbent",2,"Hard","Modern","International"
"Daniel Day-Lewis reportedly caught pneumonia on the set of 'Gangs of New York' because he refused to wear a modern coat, claiming it didn't exist in which year?","1846","1888","1862",2,"Hard","Modern","Domestic"
"Which actress famously gained 30 pounds and wore prosthetic teeth to play serial killer Aileen Wuornos in the 2003 film 'Monster'?","Nicole Kidman","Renée Zellweger","Charlize Theron",2,"Easy","Modern","Domestic"
"During the filming of 'Marathon Man' (1976), Dustin Hoffman stayed awake for 72 hours to look exhausted, leading co-star Laurence Olivier to famously ask, 'Why don't you just try...?'","Sleeping","Methoding","Acting",2,"Medium","New Hollywood","Domestic"
"Which Method actor famously sent strange 'gifts,' including live rats and used condoms, to his castmates while preparing to play the Joker in 'Suicide Squad'?","Heath Ledger","Joaquin Phoenix","Jared Leto",2,"Medium","Modern","Domestic"
"To prepare for his role as a taxi driver in 'Taxi Driver' (1976), Robert De Niro actually obtained a hack license and drove passengers around which city?","Chicago","Los Angeles","New York City",2,"Easy","New Hollywood","Domestic"
"Daniel Day-Lewis spent six months in the wilderness learning to skin animals and fire a 12-pound flintlock rifle for which 1992 historical epic?","The Age of Innocence","In the Name of the Father","The Last of the Mohicans",2,"Medium","Modern","Domestic"
"Which actor, known for his extreme physical transformations, reportedly lost 63 pounds by eating only an apple and a can of tuna a day for 'The Machinist'?","Tom Hardy","Edward Norton","Christian Bale",2,"Medium","Modern","International"
"Paul Newman and Joanne Woodward first met while working as understudies on which 1953 Broadway production?","Cat on a Hot Tin Roof","The Long, Hot Summer","Picnic",2,"Hard","Golden Age","Domestic"
"In 1958, Joanne Woodward became the first person to receive a star on the Hollywood Walk of Fame for her Oscar-winning role in which film?","Rachel, Rachel","The Long, Hot Summer","The Three Faces of Eve",2,"Medium","Golden Age","Domestic"
"Which 1968 film marked Paul Newman's directorial debut and starred Joanne Woodward in an Academy Award-nominated performance?","The Effect of Gamma Rays on Man-in-the-Moon Marigolds","The Shadow Box","Rachel, Rachel",2,"Medium","New Hollywood","Domestic"
"Paul Newman and Joanne Woodward starred together as American tourists in Paris in which 1961 romantic comedy featuring a jazz-heavy score?","A New Kind of Love","The Drowning Pool","Paris Blues",2,"Medium","Golden Age","International"
"Paul Newman famously declined the lead role in 'Jaws' and 'Dirty Harry', but finally won his Best Actor Oscar for reprising his role as 'Fast Eddie' Felson in which 1986 film?","The Hustler","Cool Hand Luke","The Color of Money",2,"Easy","80s","Domestic"
"In their final on-screen collaboration in 1990, Newman and Woodward played a rigid conservative couple in which Merchant Ivory production?","The Remains of the Day","Howards End","Mr. & Mrs. Bridge",2,"Hard","Modern","Domestic"
"Which 1958 film was the first time Paul Newman and Joanne Woodward starred together, released just months after they were married?","Rally 'Round the Flag, Boys!","From the Terrace","The Long, Hot Summer",2,"Easy","Golden Age","Domestic"
"Aside from acting, Paul Newman was a highly successful professional in which sport, once finishing second at the 24 Hours of Le Mans?","Competitive Sailing","Equestrianism","Auto Racing",2,"Easy","New Hollywood","Domestic"
"Joanne Woodward won an Emmy for her portrayal of a woman with Alzheimer's in which 1985 television movie?","Sybil","See How She Runs","Do You Remember Love",2,"Hard","80s","Domestic"
"Paul Newman provided the voice for Doc Hudson in which 2006 Pixar film, marking his final big-screen credit?","Toy Story","The Incredibles","Cars",2,"Easy","Modern","Domestic"
"Which actor famously turned down the role of Han Solo in 'Star Wars' because he didn't understand the script, later saying 'I gave that man a career' about Harrison Ford?","Jack Nicholson","Christopher Walken","Al Pacino",2,"Medium","New Hollywood","Domestic"
"Michelle Pfeiffer turned down the lead role in 'The Silence of the Lambs' because she found it too violent; which actress took the part and won an Oscar?","Laura Dern","Sigourney Weaver","Jodie Foster",2,"Easy","Modern","Domestic"
"Will Smith turned down the role of Neo in 'The Matrix' to star in which notorious 1999 box office flop instead?","After Earth","The Legend of Bagger Vance","Wild Wild West",2,"Easy","Modern","Domestic"
"Which actor was the first choice to play Michael Corleone in 'The Godfather' but turned it down, leading the studio to reluctantly hire Al Pacino?","Robert Redford","Warren Beatty","Jack Nicholson",2,"Hard","New Hollywood","Domestic"
"Burt Reynolds deeply regretted turning down the role of Garrett Breedlove in 'Terms of Endearment'; who took the role and won an Oscar for it?","Gene Hackman","Shirley MacLaine","Jack Nicholson",2,"Hard","80s","Domestic"
"Which legendary actor turned down the role of Gandalf in 'The Lord of the Rings' because he 'never understood the novels'?","Patrick Stewart","Christopher Lee","Sean Connery",2,"Medium","Modern","International"
"Julia Roberts and Meg Ryan both turned down the lead in 'Basic Instinct'; which then-unknown actress took the role and became a star?","Geena Davis","Kelly McGillis","Sharon Stone",2,"Medium","Modern","Domestic"
"John Travolta turned down the title role in 'Forrest Gump', a mistake he later admitted to while the role went to which actor?","Bill Murray","Chevy Chase","Tom Hanks",2,"Easy","Modern","Domestic"
"Which 'Brat Pack' member turned down the role of 'Duckie' in 'Pretty in Pink' because he didn't want to be typecast as a geek?","Emilio Estevez","Rob Lowe","Anthony Michael Hall",2,"Hard","80s","Domestic"
"Sandra Bullock turned down the role of Maggie Fitzgerald in 'Million Dollar Baby' due to scheduling conflicts; which actress won her second Oscar for the part?","Cate Blanchett","Kate Winslet","Hilary Swank",2,"Medium","Modern","Domestic"
"In the 2000 box office disaster 'Battlefield Earth', John Travolta played Terl, a member of which alien race?","The Borg","The Hutts","The Psychlos",2,"Hard","Modern","Domestic"
"To prepare for 'Gigli' (2003), director Martin Brest reportedly spent $100 million on a production that ultimately earned back how much during its opening weekend?","$15 million","$7 million","$3.8 million",2,"Hard","Modern","Domestic"
"The 1986 flop 'Howard the Duck' was produced by which legendary filmmaker, who famously used the film's failure as a reason to sell his computer graphics division to Steve Jobs?","Steven Spielberg","Francis Ford Coppola","George Lucas",2,"Medium","80s","Domestic"
"Which 1995 pirate epic starring Geena Davis was so expensive and unsuccessful it caused the total collapse of Carolco Pictures?","Waterworld","The Island of Dr. Moreau","Cutthroat Island",2,"Medium","Modern","Domestic"
"In 'Battlefield Earth', the human 'Man-Animals' learn to fly Harrier Jets despite the technology being how many years old?","100 years","500 years","1,000 years",2,"Hard","Modern","Domestic"
"The 2002 film 'The Adventures of Pluto Nash' remains one of the biggest bombs in history; which comedy icon played the title role?","Will Smith","Chris Rock","Eddie Murphy",2,"Easy","Modern","Domestic"
"Which 1980 musical film starring Robin Williams as a sailor was a notorious production nightmare that involved building an entire village in Malta?","Hook","Toys","Popeye",2,"Medium","80s","Domestic"
"The 2012 Disney film 'John Carter' resulted in a write-down of nearly $200 million; its source material was a novel by the author of which other famous character?","Sherlock Holmes","Zorro","Tarzan",2,"Hard","Modern","Domestic"
"In 'Gigli', what is the name of the character played by Jennifer Lopez, who serves as a 'free spirit' assassin?","Suri","Bella","Ricki",2,"Hard","Modern","Domestic"
"Which 1991 Bruce Willis film was a massive critical and commercial failure, featuring a plot about a cat burglar forced to steal Da Vinci artifacts?","The Last Boy Scout","Striking Distance","Hudson Hawk",2,"Medium","Modern","Domestic"
"In the 1971 film 'Vanishing Point', what is the make and model of the white car driven by Kowalski?","1969 Ford Mustang","1971 Pontiac GTO","1970 Dodge Challenger R/T",2,"Hard","New Hollywood","Domestic"
"Which New Hollywood director used a 'silent' second unit to film the vast majority of the livestock and nature footage in the 1978 film 'Days of Heaven'?","Francis Ford Coppola","Robert Altman","Terrence Malick",2,"Hard","New Hollywood","Domestic"
"In 'The French Connection' (1971), the famous car chase was filmed without city permits; what did the production use on the car's roof to warn pedestrians?","A flashing red siren","A loud megaphone","A simple cardboard police sign",2,"Hard","New Hollywood","Domestic"
"Which 1977 William Friedkin film, a remake of 'The Wages of Fear', was a massive box office failure due to being released the same week as 'Star Wars'?","The Exorcist","Cruising","Sorcerer",2,"Hard","New Hollywood","Domestic"
"In the 1974 film 'The Conversation', what is the hobby of the protagonist Harry Caul that he uses to unwind in his apartment?","Building model ships","Restoring antique clocks","Playing the saxophone",2,"Hard","New Hollywood","Domestic"
"Which 1972 film by John Huston stars Stacy Keach as an aging boxer and is noted for its gritty, unglamorous depiction of the sport?","Rocky","Raging Bull","Fat City",2,"Hard","New Hollywood","Domestic"
"During the production of 'Apocalypse Now', which actor’s contract required that he only work for four weeks and never be filmed in full light due to his weight?","Robert Duvall","Dennis Hopper","Marlon Brando",2,"Hard","New Hollywood","Domestic"
"In the 1971 film 'Harold and Maude', what is the unusual hobby shared by the two main characters that leads to their first meeting?","Collectable coin auctions","Competitive ballroom dancing","Attending strangers' funerals",2,"Medium","New Hollywood","Domestic"
"Which 1973 film starring Robert Redford and Paul Newman features a plot centered around an elaborate 'long con' involving a fake betting parlor?","The Getaway","Paper Moon","The Sting",2,"Medium","New Hollywood","Domestic"
"Which 1927 silent masterpiece by Fritz Lang was so expensive it nearly bankrupted UFA studios, despite now being considered one of the greatest films ever made?","Metropolis","The Cabinet of Dr. Caligari","Nosferatu",0,"Medium","Silent Era","International"
"Erich von Stroheim’s 1924 film 'Greed' was originally nearly 10 hours long; after the studio cut it down to 2 hours against his will, it became a massive flop for which studio?","Paramount","MGM","RKO",1,"Hard","Silent Era","Domestic"
"Which 1925 Buster Keaton film featured a real train being crashed into a river—the most expensive single shot in silent film history—yet failed at the box office at the time?","The Navigator","Sherlock Jr.","The General",2,"Medium","Silent Era","Domestic"
"The 1916 epic 'Intolerance' was a financial disaster for D.W. Griffith, largely because he built a massive set for the 'Babylon' sequence that stood in Los Angeles for years because he couldn't afford to do what?","Film on it","Tear it down","Insure it",1,"Hard","Silent Era","Domestic"
"Which 1963 Old Hollywood epic starring Elizabeth Taylor was so plagued by delays and cost overruns that it nearly caused 20th Century Fox to shut down?","The Sound of Music","Cleopatra","Doctor Dolittle",1,"Easy","Golden Age","Domestic"
"Howard Hughes spent nearly $4 million on which 1930 aviation epic, making it the most expensive film of its time, though it took years to recoup its costs?","The Aviator","Wings","Hell's Angels",2,"Medium","Golden Age","Domestic"
"Which 1956 historical film starring John Wayne as Genghis Khan is often cited as one of the worst casting choices and biggest flops of the era?","The Conqueror","The Searchers","The Alamo",0,"Medium","Golden Age","Domestic"
"The 1967 musical 'Doctor Dolittle' was such a notorious bomb that the studio reportedly spent more money on what than on the film's actual production?","The animal trainers","The Oscar campaign","The lead actor's salary",1,"Hard","Golden Age","Domestic"
"In 'Top Gun' (1986), what is the iconic response Maverick and Goose give when asked why they feel a 'longing' for danger?","I'm going to take you right into the Danger Zone!","I feel the need... the need for speed!","I'll fly with you anytime.",1,"Easy","80s","Domestic"
"Which character famously tells Maverick, 'You can be my wingman any time,' at the end of 'Top Gun'?","Viper","Goose","Iceman",2,"Easy","80s","Domestic"
"In the 1972 New Hollywood masterpiece 'The Godfather', what does Vito Corleone famously say he will make to a man who refuses his request?","An offer he can't refuse.","A promise he'll regret.","A debt he can't pay.",0,"Easy","New Hollywood","Domestic"
"Which 1976 film features the famous line, 'I'm as mad as hell, and I'm not going to take this anymore!'?","Taxi Driver","Network","All the President's Men",1,"Medium","New Hollywood","Domestic"
"In 'Star Wars' (1977), what is the first half of the iconic phrase Obi-Wan Kenobi uses to bless Luke Skywalker?","May the Force be with you.","Trust in the Force.","The Force is strong with this one.",0,"Easy","New Hollywood","Domestic"
"Which 1975 film features the ad-libbed warning: 'You're gonna need a bigger boat'?","The Deep","Orca","Jaws",2,"Easy","New Hollywood","Domestic"
"In 'Casablanca' (1942), what are the final words spoken by Rick Blaine as he walks into the fog?","We'll always have Paris.","Louis, I think this is the beginning of a beautiful friendship.","Here's looking at you, kid.",1,"Medium","Golden Age","International"
"Which 1939 classic ends with the line, 'Frankly, my dear, I don't give a damn'?","The Wizard of Oz","Gone with the Wind","Mr. Smith Goes to Washington",1,"Easy","Golden Age","Domestic"
"In the 1950 film 'Sunset Boulevard', what does the aging star Norma Desmond famously claim she is still 'big' enough for?","The stage","The camera","The pictures",2,"Medium","Golden Age","Domestic"
"Which line from 'Taxi Driver' (1976) was completely improvised by Robert De Niro while looking into a mirror?","You talkin' to me?","Here is a man who would not take it anymore.","Loneliness has followed me my whole life.",0,"Easy","New Hollywood","Domestic"
"Who was the comedic icon known as 'The Little Tramp' who dominated the American silent era?","Buster Keaton","Harold Lloyd","Charlie Chaplin",2,"Easy","Silent Era","Domestic"
"Which 1915 D.W. Griffith film is famous for its technical innovations but remains controversial for its racist themes?","The Birth of a Nation","Intolerance","Way Down East",0,"Easy","Silent Era","Domestic"
"Known as 'The Great Stone Face,' which silent star was famous for doing his own dangerous stunts?","Douglas Fairbanks","Buster Keaton","Fatty Arbuckle",1,"Easy","Silent Era","Domestic"
"Which 1927 film was the first ever to win the Academy Award for Best Picture (then called Outstanding Picture)?","Wings","Sunrise","Seventh Heaven",0,"Easy","Silent Era","Domestic"
"Who was the swashbuckling star of 'The Mark of Zorro' and 'The Thief of Bagdad'?","Rudolph Valentino","John Gilbert","Douglas Fairbanks",2,"Easy","Silent Era","Domestic"
"What was the primary method of providing dialogue in a silent film?","Live voice actors","Subtitles","Intertitles",2,"Easy","Silent Era","Domestic"
"Which 1902 French film by Georges Méliès features the iconic image of a rocket hitting the Man in the Moon's eye?","A Trip to the Moon","The Impossible Voyage","The Conquest of the Pole",0,"Easy","Silent Era","International"
"The Lumière brothers’ first public screening in 1895 famously included a shot of what approaching the camera?","A lion","A train","A horse",1,"Easy","Silent Era","International"
"Which 1922 German film is an unauthorized adaptation of Bram Stoker's 'Dracula'?","The Cabinet of Dr. Caligari","Metropolis","Nosferatu",2,"Easy","Silent Era","International"
"What visual style, characterized by jagged sets and shadows, was popularized in 1920s German cinema?","Realism","Impressionism","Expressionism",2,"Easy","Silent Era","International"
"Which French filmmaker is credited with inventing the 'actualité' (documentary-style) film?","Georges Méliès","The Lumière Brothers","Alice Guy-Blaché",1,"Easy","Silent Era","International"
"In the 1925 Soviet film 'Battleship Potemkin,' what famous location is the site of a brutal massacre?","The Odessa Steps","The Red Square","The Winter Palace",0,"Easy","Silent Era","International"
"Which silent star was known as the 'Latin Lover' and caused mass hysteria upon his death in 1926?","Ramon Novarro","Rudolph Valentino","Antonio Moreno",1,"Easy","Silent Era","International"
"Who was the first female filmmaker and the first to suggest that cinema could tell stories?","Mary Pickford","Lillian Gish","Alice Guy-Blaché",2,"Easy","Silent Era","International"
"Which 1927 German science-fiction epic directed by Fritz Lang features a robotic 'False Maria'?","M","Metropolis","Dr. Mabuse the Gambler",1,"Easy","Silent Era","International"
"What was the name of the early device used by the Lumière brothers that both filmed and projected movies?","Kinetoscope","Cinematograph","Zoetrope",1,"Easy","Silent Era","International"
"Which 1928 French-Danish film is renowned for its intense use of close-ups during a trial?","The Passion of Joan of Arc","Vampyr","Häxan",0,"Easy","Silent Era","International"
"What color was frequently applied by hand to individual frames of early Méliès films?","Sepia","Blue","Multiple hand-painted colors",2,"Easy","Silent Era","International"
"In 'The Cabinet of Dr. Caligari', what is the profession of Cesare?","A doctor","A somnambulist (sleepwalker)","A murderer",1,"Easy","Silent Era","International"
"Which 1929 surrealist short by Luis Buñuel and Salvador Dalí opens with a famous eye-cutting sequence?","Un Chien Andalou","L'Age d'Or","The Seashell and the Clergyman",0,"Easy","Silent Era","International"
"Who directed the 1924 Soviet film 'Aelita: Queen of Mars'?","Sergei Eisenstein","Dziga Vertov","Yakov Protazanov",2,"Easy","Silent Era","International"
"Which 1922 documentary (or 'ethnofiction') by Robert Flaherty followed the life of an Inuk man?","Nanook of the North","Moana","Tabu",0,"Easy","Silent Era","International"
"The 'Kuleshov Effect' is a film editing theory developed in which country?","France","Soviet Union","Germany",1,"Easy","Silent Era","International"
"Which 1927 French film by Abel Gance is famous for its 'Polyvision' three-screen finale?","Napoleon","J'accuse","La Roue",0,"Easy","Silent Era","International"
"Who was the Swedish actress known as 'The Divine' who became a star in the silent era before conquering sound in 1939's Ninotchka?","Ingrid Bergman","Greta Garbo","Asta Nielsen",1,"Easy","Silent Era","International"
"Which 1925 Buster Keaton film features the incredible 'house falling around him' stunt?","The General","Sherlock Jr.","Steamboat Bill, Jr.",2,"Medium","Silent Era","Domestic"
"What was the name of the film studio founded by Chaplin, Fairbanks, Pickford, and Griffith?","United Artists","First National","Famous Players-Lasky",0,"Medium","Silent Era","Domestic"
"Which 1927 F.W. Murnau film, though American-made, is considered a peak of German Expressionist influence in Hollywood?","The Last Laugh","Sunrise: A Song of Two Humans","City Girl",1,"Medium","Silent Era","Domestic"
"Who was known as 'The Girl with the Curls' and was the most powerful woman in early Hollywood?","Lillian Gish","Mary Pickford","Gloria Swanson",1,"Medium","Silent Era","Domestic"
"In Harold Lloyd's 'Safety Last!' (1923), what is he hanging from on the side of a building?","A flagpole","A window ledge","A clock hand",2,"Medium","Silent Era","Domestic"
"Lon Chaney was known as 'The Man of a Thousand Faces' for his makeup skills; which role features him with a skeletal face in a box at the opera?","The Hunchback of Notre Dame","The Phantom of the Opera","London After Midnight",1,"Medium","Silent Era","Domestic"
"Which 1924 Western epic by John Ford helped establish the genre as a major force in Hollywood?","The Covered Wagon","The Iron Horse","Stagecoach",1,"Medium","Silent Era","Domestic"
"The 1921 film 'The Sheik' solidified whose status as Hollywood's premier heartthrob?","Rudolph Valentino","John Barrymore","Wallace Reid",0,"Medium","Silent Era","Domestic"
"Which silent actress was the first 'It Girl'?","Clara Bow","Theda Bara","Colleen Moore",0,"Medium","Silent Era","Domestic"
"Who directed the 1924 film 'Greed,' which was famously cut down from nearly 10 hours to two?","Erich von Stroheim","Cecil B. DeMille","King Vidor",0,"Medium","Silent Era","Domestic"
"In 'The General', Buster Keaton’s character is rejected from the Confederate Army for what reason?","He is too short","He is more valuable as an engineer","He is a coward",1,"Medium","Silent Era","Domestic"
"What was the name of the first 'vamp' in cinema history, known for her exotic and dark roles?","Pola Negri","Theda Bara","Alla Nazimova",1,"Medium","Silent Era","Domestic"
